Timestamp,Modo,NumPontos,PontosNaEnvoltoria,Tempo_ms
2025-10-17 19:41:11,1,3,3,0.26806100004250766
2025-10-17 19:41:12,1,4,3,0.37986200004525017
2025-10-17 19:41:13,1,5,4,0.35043699995185307
2025-10-17 19:41:13,1,6,5,0.20483599996623525
2025-10-17 19:41:14,1,7,5,0.3660699999272765
2025-10-17 19:41:14,1,8,5,0.355822000074113
2025-10-17 19:41:15,1,9,5,0.2870620000976487
2025-10-17 19:41:16,1,10,5,0.3539900001214846
2025-10-17 19:41:16,1,11,5,0.20651099998758582
2025-10-17 19:41:17,1,12,5,0.35282799990454805
2025-10-17 19:41:17,1,13,5,0.3706540001076064
2025-10-17 19:41:18,1,14,5,0.34746299979815376
2025-10-17 19:41:18,1,15,5,0.35681099984685716
2025-10-17 19:41:19,1,16,6,0.20429300002433592
2025-10-17 19:41:19,1,17,6,0.3839260000404465
2025-10-17 19:41:20,1,18,7,0.21100800017848087
2025-10-17 19:41:21,1,19,7,0.35354499982531706
2025-10-17 19:41:21,1,20,7,0.20107599993934855
2025-10-17 19:41:22,1,21,7,0.19869899983859796
2025-10-17 19:41:22,1,22,7,0.21363500013649173
2025-10-17 19:41:23,1,23,7,0.34258599998793215
2025-10-17 19:41:23,1,24,7,0.19713899996531836
2025-10-17 19:41:24,1,25,7,0.2007560001402453
2025-10-17 19:41:24,1,26,7,0.3912300001047697
2025-10-17 19:41:25,1,27,7,0.4103840001334902
2025-10-17 19:41:26,1,28,7,0.4927659999793832
2025-10-17 19:41:26,1,29,7,0.3767549999338371
2025-10-17 19:41:27,1,30,7,0.2813169999171805
2025-10-17 19:41:27,1,31,7,0.3801289999501023
2025-10-17 19:41:28,1,32,7,0.3767440000501665
2025-10-17 19:41:28,1,33,7,0.36725900008605095
2025-10-17 19:41:29,1,34,7,0.3905220000888221
2025-10-17 19:41:29,1,35,7,0.35885699981008656
2025-10-17 19:41:30,1,36,7,0.24519300018255308
2025-10-17 19:41:31,1,37,8,0.20614400000340538
2025-10-17 19:41:31,1,38,8,0.365669000075286
2025-10-17 19:41:32,1,39,8,0.40454500003761495
2025-10-17 19:41:33,1,40,8,0.21521400003621238
2025-10-17 19:41:35,1,41,8,0.37074600004416425
2025-10-17 19:41:35,1,42,8,0.3620469999532361
2025-10-17 19:41:36,1,43,9,0.40504799994778296
2025-10-17 19:41:38,1,44,10,0.21687899993594328
2025-10-17 19:41:40,1,45,11,0.3936890000204585
2025-10-17 19:41:41,1,46,12,0.3775899999709509
2025-10-17 19:41:42,1,47,12,0.3839599999082566
2025-10-17 19:41:42,1,48,12,0.38342399989232945
2025-10-17 19:41:43,1,49,12,0.3956819998620631
2025-10-17 19:41:43,1,50,12,0.2180270000735618
2025-10-17 19:41:44,1,51,12,0.39951899998413865
2025-10-17 19:41:44,1,52,12,0.35847599997396173
2025-10-17 19:41:54,2,60,9,0.5826560000059544
2025-10-17 19:42:08,2,10,6,0.6091029999879538
2025-10-17 19:42:19,2,100,9,0.6924120000348921
2025-10-17 19:42:42,3,20,3,0.477437999961694
2025-10-17 19:42:58,3,20,4,0.5313940000633011
2025-10-17 19:43:12,3,60,3,0.5735300001106225
2025-10-17 19:43:36,3,60,4,0.6135699998139899
