Evento,Detalhes,Tempo
Caminho do mouse,"(534, 285)",2.4101831912994385
Caminho do mouse,"(536, 283)",2.4180045127868652
Caminho do mouse,"(540, 278)",2.423144817352295
Caminho do mouse,"(543, 274)",2.4339096546173096
Caminho do mouse,"(548, 269)",2.4397122859954834
Caminho do mouse,"(551, 265)",2.445011615753174
Caminho do mouse,"(555, 258)",2.4532065391540527
Caminho do mouse,"(558, 255)",2.4617137908935547
Caminho do mouse,"(562, 251)",2.4665873050689697
Caminho do mouse,"(567, 244)",2.473886013031006
Caminho do mouse,"(569, 241)",2.48230242729187
Caminho do mouse,"(574, 235)",2.4883148670196533
Caminho do mouse,"(578, 229)",2.4969305992126465
Caminho do mouse,"(581, 225)",2.5027284622192383
Caminho do mouse,"(584, 219)",2.5117063522338867
Caminho do mouse,"(586, 215)",2.5172743797302246
Caminho do mouse,"(589, 209)",2.524179220199585
Caminho do mouse,"(591, 205)",2.532240390777588
Caminho do mouse,"(593, 201)",2.539358139038086
Caminho do mouse,"(596, 195)",2.5467028617858887
Caminho do mouse,"(596, 193)",2.552928924560547
Caminho do mouse,"(598, 190)",2.562035083770752
Caminho do mouse,"(599, 186)",2.5705807209014893
Caminho do mouse,"(600, 183)",2.5743699073791504
Caminho do mouse,"(601, 180)",2.582876682281494
Caminho do mouse,"(602, 177)",2.5912768840789795
Caminho do mouse,"(603, 175)",2.5963828563690186
Caminho do mouse,"(604, 173)",2.604295492172241
Caminho do mouse,"(604, 171)",2.6136350631713867
Caminho do mouse,"(605, 168)",2.6177055835723877
Caminho do mouse,"(606, 165)",2.6257193088531494
Caminho do mouse,"(606, 163)",2.6344823837280273
Caminho do mouse,"(608, 158)",2.6410670280456543
Caminho do mouse,"(609, 155)",2.64782452583313
Caminho do mouse,"(610, 153)",2.6554293632507324
Caminho do mouse,"(611, 151)",2.6606295108795166
Caminho do mouse,"(611, 149)",2.669405460357666
Caminho do mouse,"(612, 148)",2.6852729320526123
Caminho do mouse,"(612, 147)",2.6911191940307617
